arg1,arg2,verb,sentence,verb_idx,label
,,,", '""Music! Music! Music! (Put Another Nickel In)"" is a popular song written by Stephen Weiss and Bernie Baum and published in 1949",,0
,,," It is generally produced for playback by DJs who create seamless selections of tracks, called a mix, by segueing from one recording to another",,0
,,,EDM producers also perform their music live in a concert or festival setting in what is sometimes called a live PA,,0
,,," UMG\'s corporate headquarters are located in Hilversum, Netherlands and its operational headquarters are located in Santa Monica, California",,0
,,," The biggest music company in the world,  it is one of the ""Big Three"" record labels, along with Sony Music and Warner Music Group",,0
,,,"""  UMG has signed licensing agreements with more than 400 platforms worldwide",,0
,,,", 'Gospel music is a genre of Christian music",,0
,,,Gospel music can be traced to the early 17th century,,0
,,,Most of the churches relied on hand clapping and foot stomping as rhythmic accompaniment,,0
,,,Most of the singing was done a cappella,,0
,,," The first published use of the term ""gospel song"" probably appeared in 1874",,0
,,,\nThe original gospel songs were written and composed by authors such as George F,,0
,,," Root, Philip Bliss, Charles H",,0
,,," Gabriel, William Howard Doane, and Fanny Crosby",,0
,,,"\nSouthern gospel used all male, tenor-lead-baritone-bass quartet make-up",,0
,,,British black gospel refers to Gospel music of the African diaspora produced in the UK,,0
,,,", 'Into the Music is the 11th studio album by Northern Irish singer-songwriter Van Morrison, and was released in August 1979",,0
,,,", 'The Music are an English alternative rock band, formed in Kippax, Leeds in 1999",,0
,,,", 'Warner Music Group Corp",,0
,,,", ""YouTube Music is a music streaming service developed by YouTube, a subsidiary of Google",,0
,,," It provides a tailored interface for the service, oriented towards music streaming, allowing users to browse through songs and music videos on YouTube based on genres, playlists, and recommendations",,0
,,," \nThe service also offers a premium tier, which enables ad-free playback audio-only background playback and downloading songs for offline playback",,0
,,,These subscription benefits are also offered to subscribers of Google Play Music and YouTube Premium,,0
,,," In the 1960s, several British rock bands such as the Rolling Stones, the Who and the Animals were referred to and promoted as being R&B bands; posters for the Who\'s residency at the Marquee Club in 1964 contained the slogan, ""Maximum R&B""",,0
,,,", 'The Carpenters: Music, Music, Music is a Carpenters television special from 1980",,0
,,,"  It included guest stars such as Ella Fitzgerald, John Davidson and Nelson Riddle and his orchestra",,0
,,,", 'Music, Music is the eighth studio album by Australian-American pop singer Helen Reddy that was released in the summer of 1976 by Capitol Records and later described by J",,0
,,," On August 2 of that year the Recording Industry Association of America awarded the album with Gold certification for sales of 500,000 copies in the United States",,0
,,," It debuted on Billboard\'s Top LP\'s & Tapes chart that same month, in the issue dated August 14, and got as high as number 16 during its 13 weeks there, and in Canada\'s RPM magazine it peaked at number 14",,0
,,," The third album recorded by Reddy with producer Joe Wissert, Music, Music was cited in 1977 by Reddy as a personal favorite from among her albums",,0
,,," On August 23, 2005, Music, Music was released for the first time on compact disc as one of two Helen Reddy albums on one CD, the other album being her 1975 studio release, No Way to Treat a Lady",,0
,,,"  \nMusic Choice is distributed nationwide by \u202fComcast Xfinity,\u202fCharter Spectrum,\u202fCox Communications,\u202fVerizon Fios,\u202fDirecTV\u202fand many other mid-size and smaller  MVPDs",,0
,,,", '",,0
,,,music is a top-level domain name (TLD) released in 2003 for use in music dissemination and appreciation,,0
,,,"\nOn April 17, 2019 DotMusic Limited announced that their rights application had been approved by the Internet Corporation for Assigned Names and Numbers (ICANN) and contracting was in the works",,0
,,,", 'K-pop (Korean: 케이팝; RR: keipap), short for Korean popular music, is a genre of music originating in South Korea as part of South Korean culture",,0
,,,O,,0
,,,"\nThe term ""K-pop"" became popular in the 2000s",,0
,,," The earliest, widespread description of nanotechnology referred to the particular technological goal of precisely manipulating atoms and molecules for fabrication of macroscale products, also now referred to as molecular nanotechnology",,0
,,," A more generalized description of nanotechnology was subsequently established by the National Nanotechnology Initiative, which defined nanotechnology as the manipulation of matter with at least one dimension sized from 1 to 100 nanometers",,0
,,," Nanotechnology may be able to create many new materials and devices with a vast range of applications, such as in nanomedicine, nanoelectronics, biomaterials energy production, and consumer products",,0
,,,", 'ON Technology was a software company in the United States",,0
,,,It was formed in 1987  by Mitch Kapor after his departure from Lotus Software,,0
,,,The original plan of the business was to build an object-oriented PC desktop environment providing a variety of applications,,0
,,,"\nON was acquired by Symantec on October 27, 2003",,0
,,,"\n\n\n== References ==', 'TCL Technology (originally an abbreviation for Telephone Communication Limited) is a Chinese multinational electronics company headquartered in Huizhou, Guangdong Province",,0
,,," Founded as a state-owned enterprise, it designs, develops, manufactures and sells products including television sets, mobile phones, air conditioners, washing machines, refrigerators and small electrical appliances",,0
,,," In 2010, it was the world\'s 25th-largest consumer electronics producer",,0
,,,"TCL comprises four listed companies: TCL Technology which is listed on the Shenzhen Stock Exchange, and TCL Electronics Holdings, Ltd",,0
,,," (SEHK: 1070), TCL Communication Technology Holdings, Ltd",,0
,,,"(former code SEHK: 2618; delisted in 2016), China Display Optoelectronics Technology Holdings Ltd",,0
,,,(SEHK: 334) and Tonly Electronics Holdings Ltd,,0
,,,(SEHK: 1249) which are listed on the Hong Kong Stock Exchange,,0
,,,"On 7 February 2020, TCL Corporation changed its name to TCL Technology",,0
,,,", ""BOE Technology Group Co",,0
,,,", Ltd",,0
,,,", or Jingdongfang (Chinese: 京东方科技集团股份有限公司), is a Chinese electronic components producer founded in April 1993",,0
,,," Its core businesses are interface devices, smart IoT systems and smart medicine and engineering integration",,0
,,," BOE is one of the world's largest manufacturers of LCD, OLEDs and flexible displays",,0
,,,It corresponds to military camouflage for these parts of the electromagnetic spectrum (i,,0
,,,e,,0
,,,", multi-spectral camouflage)",,0
,,,Radiation-absorbent material was also tested and made to reduce or block radar signals that reflect off the surfaces of aircraft,,0
,,," Such changes to shape and surface composition comprise stealth technology as currently used on the Northrop Grumman B-2 Spirit ""Stealth Bomber""",,0
,,,This concept was first explored through camouflage to make an object\'s appearance blend into the visual background,,0
,,," As the potency of detection and interception technologies (radar, infrared search and tracking, surface-to-air missiles, etc",,0
,,,Some military uniforms are treated with chemicals to reduce their infrared signature,,0
,,,", 'Tyler Technologies, Inc",,0
,,," Tyler Technologies has offices in 17 states and one in Toronto, Ontario, Canada",,0
,,,", 'Anna University is a public state university located in Tamil Nadu, India",,0
,,,The main campus is in Chennai,,0
,,,It was originally established on 4 September 1978 and was named after C,,0
,,,N,,0
,,," Annadurai, the former Chief Minister of Tamil Nadu",,0
,,," After taking many different forms over the years, as per a September 2020 bill passed in the Tamil Nadu Legislative assembly, the varsity is now reconstituted to be an affiliating university for engineering colleges across Tamil Nadu excluding the engineering colleges that are part of Anna Technological and Research University",,0
,,,The University is now the affiliating authority for close to 550 engineering colleges in Tamil Nadu,,0
,,," Contemporary digital real estate technologies could therefore include property management using digital dashboards, smart home technology, research and analytics, listing services/tech-enabled brokerages, 
mobile applications, residential and commercial lending, 3D-modeling for online portals, automation, crowdfunding real estate projects, shared spaces management, as well as organizing, analyzing, and extracting key data from lengthy rental documents",,0
,,,", 'Media technology may refer to:\n\nData storage devices\nArt media technology – Category:Visual arts media\nPrint media technology – Category:Printing\nDigital media technology – Category:Digital media\nElectronic media technology – 
Category:Digital media or Category:Electronic publishing\nMedia technology university programmes\nMedia psychology, the field of study that examines media, technology and the effect on human behavior', 'Appropriate technology is a movement (and its manifestations)  
encompassing technological choice and application that is small-scale, affordable by locals, decentralized, labor-intensive, energy-efficient, environmentally sound, and locally autonomous",,0
,,," Well-known examples of appropriate technology applications include: bike- and hand-powered water pumps (and other self-powered equipment), the universal nut sheller, self-contained solar lamps and streetlights, and passive solar building designs",,0
,,," Today appropriate technology is often developed using open source principles, which have led to open-source appropriate technology (OSAT) and thus many of the plans of the technology can be freely found on the Internet",,0
,,,", ""ETH Zürich (English: ETH; Swiss Federal Institute of Technology in Zürich; German: Eidgenössische Technische Hochschule Zürich) is a public research university in the city of Zürich, Switzerland",,0
,,," Founded by the Swiss Federal Government in 1854 with the stated mission to educate engineers and scientists, the school focuses exclusively on science, technology, engineering, and mathematics",,0
,,," Like its sister institution EPFL, it is part of the Swiss Federal Institutes of Technology Domain, part of the Swiss Federal Department of Economic Affairs, Education and Research",,0
,,,"In the 2021 edition of QS World University Rankings, ETH Zurich was ranked 6th in the world, placing it as the second-best European university after the University of Oxford",,0
,,," In the 2020 QS World University Rankings by subject, it ranked 4th in the world for engineering and technology (2nd in Europe) and 1st for earth and marine science",,0
,,," There are currently 22,200 students from over 120 countries, of which 4,180 are pursuing doctoral degrees",,0
,,,"As of November 2019, 21 Nobel laureates, 2 Fields Medalists, 2 Pritzker Prize winners, and 1 Turing Award winner have been affiliated with the Institute, including Albert Einstein",,0
,,,Other notable alumni include John von Neumann and Santiago Calatrava,,0
